trending_date,channel_title,category_id,views,likes,dislikes,comment_count
17.14.11,fosterthepeopleVEVO,10,303956,18603,585,1745
17.14.11,Watch What Happens Live with Andy Cohen,24,238643,2429,5381,2325
17.14.11,Mayo Clinic,28,237307,1896,74,260
17.14.11,Jason Derulo,10,1282413,37669,1732,1691
17.14.11,The Late Late Show with James Corden,24,1497519,15504,353,1084
17.14.11,cocheusadoooo,23,148226,355,47,178
17.14.11,Amber Scholl,26,484185,23296,1184,1858
17.14.11,John Maclean,26,300617,8133,2693,2911
17.14.11,Bon Appétit,26,92523,2323,40,134
17.14.11,ABC News,25,7524,67,19,56
17.14.11,mayratouchofglam,26,103927,3571,278,399
17.14.11,BuzzFeed Celeb,22,177707,6271,88,275
17.14.11,Zero Media,1,1751064,16430,945,1231
17.14.11,CMAVEVO,10,46746,439,66,55
17.14.11,Alan Walker,10,746092,34839,537,2541
17.14.11,SUPERFRUIT,24,836830,82320,1279,7998
17.14.11,Saint Louis Chess Club,27,67429,438,23,23
17.14.11,ABC Television Network,24,2237404,72593,1830,3501
17.14.11,Animal Adventure Park,15,45455,2282,35,17
17.14.11,HowToBasic,26,2063667,98804,11682,11443
17.14.11,CinemaSins,1,2736733,58967,3492,7915
17.14.11,kimbramusic,10,165698,8599,361,930
17.14.11,Capital FM,10,836544,40195,373,976
17.14.11,Hope For Paws - Official Rescue Channel,15,284666,16396,81,949
17.14.11,IISuperwomanII,23,3371669,202676,3394,20086
17.14.11,Hopeless Records,10,195685,14338,171,1070
17.14.11,Rachel and Jun,22,1098897,43875,1326,4702
17.14.11,BBC Music,10,893462,22326,833,943
17.14.11,Late Night with Seth Meyers,23,225286,1731,193,206
17.14.11,H&M,24,264793,3283,853,0
17.14.11,CamilaCabelloVEVO,10,5476737,286268,4083,12254
17.14.11,Liza Koshy,23,3578502,307435,2573,12248
17.14.11,TheEllenShow,24,304926,3305,130,275
17.14.11,clothesencounters,26,247319,10138,153,639
17.14.11,FoxSearchlight,1,296434,3327,142,377
17.14.11,LukeBryanVEVO,10,125962,5048,139,369
17.14.11,NiallHoranVEVO,10,419341,53572,168,3083
17.14.11,empireofthesunvevo,10,138988,7999,84,612
17.14.11,NFVEVO,10,1774018,88417,1002,7686
17.14.11,Marques Brownlee,28,1575525,52829,1524,5864
17.14.11,Atlantic Records,10,626688,25115,499,1392
17.14.11,MsAaliyahJay,26,219030,14303,398,1099
17.14.11,Danny Sapko,10,493662,7693,181,388
17.14.11,Vogue,24,1017803,25122,628,1504
17.14.11,Michelle Khare,24,139955,4417,217,457
17.14.11,Full Frontal with Samantha Bee,22,362009,5505,2356,1264
17.14.11,Nicole Guerriero,22,294387,15247,385,976
17.14.11,The Late Show with Stephen Colbert,24,844653,11616,313,1518
17.14.11,Jimmy Kimmel Live,23,1315873,9312,584,769
17.14.11,SuperCarlinBrothers,22,188003,9091,135,2814
17.14.11,SiaVEVO,10,1624771,84426,1130,5981
17.14.11,Business Insider,25,125970,935,507,262
17.14.11,2CELLOS,10,205869,11198,120,446
17.14.11,theneedledrop,10,98422,2926,106,798
17.14.11,Simon's Cat,15,426078,19323,245,945
17.14.11,Andy Grammer,10,33315,1365,24,91
17.14.11,RemyMaVEVO,10,1231518,32648,6221,9288
17.14.11,Nintendo,20,154872,7683,164,1734
17.14.11,Dina Tokio,26,72626,3652,120,219
17.14.11,Team Coco,24,366180,4364,4448,1997
17.14.11,PitbullVEVO,10,264511,11736,532,743
17.14.11,Late Show with David Letterman,24,192609,1345,24,126
17.14.11,Alicia Keys,10,95944,1354,181,117
17.14.11,ElbowVEVO,10,154494,2163,147,211
17.14.11,MDNA SKIN,22,53321,443,131,106
17.14.11,poofables,24,95085,909,52,193
17.14.11,SigridVEVO,10,91776,4604,46,357
17.14.11,MOMOMOYOUTHVEVO,10,764716,35765,483,1159
17.14.11,TheScriptVEVO,10,135337,7158,89,318
17.14.11,Brothers Green Eats,26,77630,1991,83,208
17.14.11,Netflix,24,378750,5642,146,675
17.14.11,Abroad in Japan,24,151709,9210,71,1103
17.14.11,Tucker Gott,24,175852,15909,200,852
17.14.11,Nahre Sol,10,5149,242,0,54
17.14.11,ThirtySecondsToMarsVEVO,10,1905487,65854,2442,4490
17.14.11,HarryStylesVEVO,10,9632678,810895,16139,59473
17.14.11,Wong Fu Productions,24,476389,16106,950,2077
17.14.11,Keith Urban,24,754558,11985,1356,1757
17.14.11,Maroon5VEVO,10,762616,20159,336,899
17.14.11,X Factor Italia,24,199429,10175,66,539
17.14.11,Tyler Williams,22,691229,31892,197,1404
17.14.11,Stewart Brand,27,6412,49,0,2
17.14.11,Chris and Jack,23,108618,4989,58,274
17.14.11,The School of Life,27,79306,3809,127,670
17.14.11,E! Entertainment,24,812007,5894,951,851
17.14.11,Whitney Port,26,55398,1170,22,336
17.14.11,90s Commercials,27,773,2,0,0
17.14.11,Breakfast Club Power 105.1 FM,24,581288,5075,725,1780
17.14.11,Enter Shikari,10,99619,3959,158,335
17.14.11,Caterham Cars,2,4850,22,1,1
17.14.11,PostmodernJukebox,10,226088,10844,302,555
17.14.11,PinkVEVO,10,651036,23338,442,1101
17.14.11,Tamar Chronicles,24,451356,3454,284,623
17.14.11,Kitten Lady,15,46571,4250,16,408
17.14.11,Guinness World Records,24,28539,681,25,45
17.14.11,Blockbuster,1,12609,40,79,17
17.14.11,TrainVEVO,10,30021,569,42,44
17.14.11,Christen Dominique,26,471266,23634,460,1714
17.14.11,James Charles,24,1073134,47793,1886,5358
17.14.11,FreeDawkins,17,18573,420,10,236
17.14.11,The Infographics Show,27,250193,5748,332,1197
17.14.11,Jenny Hanell,28,1827,3,0,2
17.14.11,PetaPixel,28,2457408,2707,200,209
17.14.11,RM Videos,23,51143,258,5,10
17.14.11,BrianJustinCrum,24,27010,1666,36,150
17.14.11,CupcakeJemma,26,122669,5723,55,263
17.14.11,Anaki Abo,22,358597,1211,72,593
17.14.11,Katy Perry,24,56012,6243,106,414
17.14.11,I'm With Her,22,6148,121,3,19
17.14.11,Zoella,26,1390440,86207,1775,710
17.14.11,Storyful News,25,244532,633,174,765
17.14.11,Tu Fan,24,82087,998,93,289
17.14.11,MyHarto,23,359120,15130,223,1143
17.14.11,Chicago Sun-Times,25,33768,426,88,550
17.14.11,PhilPhillipsVEVO,10,38068,2195,28,154
17.14.11,Tati,26,1277364,56867,2148,25326
17.14.11,Ozuna,10,1498866,67227,1473,4645
17.14.11,Madelaine Petsch,22,280065,20289,38,939
17.14.11,Steve Kovach,22,2259,0,0,0
17.14.11,ESPN,17,470191,4037,430,1553
17.14.11,LetsGoWarriors,17,16305,147,13,47
17.14.11,KSNV News 3 Las Vegas,25,169511,57,59,79
17.14.11,Sailor J,24,160477,8388,691,950
17.14.11,WIRED,2,704363,16352,224,841
17.14.11,HiHo Kids,22,130778,5684,53,737
17.14.11,ElectroBOOM,28,560569,29990,341,1788
17.15.11,Brent Pella,23,462490,14132,795,666
17.15.11,Cards Against Humanity,23,295217,4854,1439,1267
17.15.11,The Slow Mo Guys,24,1525400,63995,896,4697
17.15.11,TechSmartt,28,1836419,28647,17815,7860
17.15.11,JunsKitchen,26,977285,87615,391,5575
17.15.11,Attaullah Malik,28,390964,3687,1273,1224
17.15.11,The Tonight Show Starring Jimmy Fallon,23,1611093,58474,837,3294
17.15.11,Anwar Jibawi,23,983365,60983,578,3837
17.15.11,Jimmy Kimmel Live,23,2765121,35529,1705,2388
17.15.11,BostonDynamics,28,3701763,56561,2495,11608
17.15.11,Screen Junkies,1,829132,25109,316,3428
17.15.11,The Graham Norton Show,24,391049,5939,106,385
17.15.11,Washington Post,25,137003,580,262,343
17.15.11,Dolan Twins,23,891912,122347,455,7459
17.15.11,Jackie Aina,26,175539,17130,264,1747
17.15.11,TV Promos,24,14565,478,13,67
17.15.11,Taylor Swift,10,125645,16754,65,1373
17.15.11,CaseyNeistat,22,2188590,88099,7150,24225
17.15.11,ProZD,1,394709,25188,281,1345
17.15.11,REACT,24,863116,20518,1030,4272
17.15.11,ESPN,17,200235,1197,108,627
17.15.11,LastWeekTonight,24,4632016,131784,9892,18284
17.15.11,theneedledrop,10,122426,6310,298,1624
17.15.11,iJustine,28,758998,19138,2272,2873
17.15.11,First We Feast,26,145100,5198,74,657
17.15.11,20th Century Fox,1,2671756,12699,505,1010
17.15.11,Brian Hull,24,52743,4553,33,550
17.15.11,William Osman,28,121681,6095,61,731
17.15.11,Access Hollywood,24,11404,62,26,20
17.15.11,The Infographics Show,27,419965,9805,1337,5457
17.15.11,Late Night with Seth Meyers,23,137749,1145,61,131
17.15.11,Good Mythical Morning,24,772235,15301,1229,3328
17.15.11,TED-Ed,27,297147,10410,110,665
17.15.11,emma chamberlain,24,126438,12229,86,1865
17.15.11,marshmello,10,2285136,180284,3399,11700
17.15.11,Now You See It,27,206319,11131,209,553
17.15.11,Dancing With The Stars,24,60564,975,66,106
17.15.11,Life Noggin,27,373457,16433,194,5220
17.15.11,Rudy Mancuso,23,4326684,167696,6730,9265
17.15.11,TheEllenShow,24,137860,1950,64,136
17.15.11,Summit,27,4009,61,6,14
17.15.11,reputationswift,24,3006,75,4,10
17.15.11,Vox,25,635985,20721,2417,4111
17.15.11,Gus Johnson,23,130893,8177,220,349
17.15.11,DunkFest,17,46954,87,18,28
17.15.11,Nickelback,10,208155,11162,569,954
17.15.11,Cut,24,190669,5162,131,1151
17.15.11,nigahiga,24,2509626,144816,2262,18893
17.15.11,The Scran Line,26,20778,1440,24,437
17.15.11,TIME,25,30438,143,42,220
17.15.11,MattMasonPhotography,17,94694,136,11,31
17.15.11,amc,24,211683,2279,545,1838
17.15.11,U2VEVO,10,210393,8996,290,4043
17.15.11,FreeDawkins,17,63780,831,12,301
17.15.11,Vanity Fair,24,18438,563,16,29
17.15.11,CrazyRussianHacker,28,1099318,26813,1047,3827
17.15.11,Red Bull,17,71661,6310,18,300
17.15.11,NFL,17,935879,5715,514,3442
17.15.11,BBCRadio1VEVO,10,131153,7129,78,265
17.15.11,Cleveland Cavaliers on cleveland.com,25,84149,276,128,172
17.15.11,Mark Ferris,23,34138,4303,29,1399
17.15.11,Vogue,24,144937,5246,171,280
17.15.11,Tom Scott,27,306550,16612,160,1311
17.15.11,PeterSripol,28,328325,19970,104,3336
17.15.11,Saturday Night Live,24,2472569,17959,2863,2690
17.15.11,hp_overload,2,341074,10915,1915,1313
17.15.11,todrickhall,24,113963,11576,155,635
17.15.11,Ben Rohrbach,17,21544,83,74,62
17.15.11,BBC News,25,93322,398,43,497
17.15.11,Hunter Hayes,10,68084,2530,88,117
17.15.11,The king of DIY,15,279092,8339,315,2371
17.15.11,NowThis World,25,692631,9086,1406,4582
17.15.11,People are Awesome,24,155285,4719,64,207
17.15.11,Donut Media,2,93829,2229,36,469
17.15.11,Eater,26,31639,586,42,67
17.15.11,D3sports.com,17,37524,126,77,45
17.15.11,Cracked,23,358358,9211,731,1385
17.15.11,Numberphile,28,158173,6587,68,611
17.15.11,HANSON,10,45200,930,67,116
17.15.11,SciShow,27,286577,9606,248,1196
17.15.11,Tested,28,315177,4212,171,259
17.15.11,Refinery29,26,225044,2265,775,868
17.15.11,Frank May,23,399491,6240,326,287
17.15.11,JerryRigEverything,26,231104,12862,347,1824
17.15.11,NBA on ESPN,17,5813,33,3,0
17.15.11,SIRAH,10,18317,1322,34,196
17.15.11,ScreenPrism,1,246134,5847,337,544
17.15.11,JimBrowski 96HourNews,25,32483,23,10,135
17.15.11,officer401,24,113462,4566,142,757
17.15.11,Emirates,19,311621,2425,145,465
17.15.11,Amazon.co.uk,24,94229,217,177,0
17.15.11,Valk Aviation,19,571588,386,47,113
17.15.11,HellthyJunkFood,24,272604,9576,260,1619
17.15.11,Shantell Martin,1,42336,4293,89,428
17.15.11,INSIDER,24,13750,305,10,39
17.15.11,Gregg Peterson,17,6684,18,57,54
17.15.11,Estée Lalonde,22,128523,4170,148,307
17.15.11,The Late Late Show with James Corden,24,102639,3218,1085,475
17.15.11,EminemVEVO,10,20539417,840642,47715,124236
17.15.11,U.S. Navy,25,238413,732,92,618
17.15.11,Canada Soccer,17,41029,296,32,33
17.15.11,Niki and Gabi,23,805124,44513,1756,3929
17.15.11,ViralHog,2,55140,136,14,46
17.15.11,Nobrand,22,120817,2896,210,594
17.15.11,FaeryInLoveInc,1,58469,828,253,271
17.15.11,MatthewSantoro,10,360223,15873,16033,7803
17.15.11,dope2111,26,1775997,37124,1980,2695
17.15.11,WLKY News Louisville,25,6685,11,35,18
17.15.11,The Office US,24,200060,4548,52,258
17.15.11,Shawn Johnson East,22,346924,4657,1838,734
17.15.11,JenniferLopezVEVO,10,12987863,216319,17751,12133
17.15.11,Simply Nailogical,24,1981757,103407,1419,12354
17.15.11,NBA Highlights · YouTube,17,1015189,2133,2483,1465
17.15.11,Entertainment Weekly,24,3653,47,3,25
17.15.11,FBE,24,2255529,48000,2970,8507
17.15.11,WWE,17,1155622,16060,883,1018
17.15.11,CBS Sunday Morning,25,9892,250,7,19
17.15.11,CamilaCabelloVEVO,10,5626588,408618,6121,28196
17.15.11,12 News,22,85643,170,45,0
17.15.11,Grace Helbig,22,212310,7589,227,463
17.15.11,Kevin Durant,17,180284,6073,125,512
17.15.11,Jeremy Jahns,24,301423,8409,349,952
17.15.11,YouTube Spotlight,24,835573,27068,2021,5165
17.15.11,GEazyMusicVEVO,10,3686343,130373,3628,6694
17.15.11,Jonathan Morrison,28,297840,10429,378,990
17.15.11,Safiya Nygaard,22,2922523,119348,1161,6736
17.15.11,IGN,24,595415,8795,450,1022
17.15.11,Lele Pons,23,3643894,125205,8702,5687
17.15.11,ABC News,25,9833,73,21,62
17.15.11,John Lewis,26,7563254,58209,10859,7120
17.15.11,CMAVEVO,10,54341,487,67,64
17.15.11,fosterthepeopleVEVO,10,357078,19783,610,1732
17.15.11,Jason Derulo,10,1888789,44007,1997,1794
17.15.11,cocheusadoooo,23,168446,374,48,191
17.15.11,Watch What Happens Live with Andy Cohen,24,263656,2556,5584,2377
17.15.11,Amber Scholl,26,515525,24115,1249,1860
17.15.11,Ed Sheeran,10,39082222,1721383,23137,90352
17.15.11,Bkav Corp,28,1080230,2540,887,1040
17.15.11,Alan Walker,10,873362,36365,594,2630
17.15.11,John Maclean,26,366892,9052,2993,3088
17.15.11,Daelric,22,48372,382,11,29
17.15.11,BuzzFeed Celeb,22,216766,7108,95,319
17.15.11,MeganBatoon,24,81086,3085,150,250
17.15.11,"monday.com, formerly dapulse",28,3931,17,0,2
17.15.11,SUPERFRUIT,24,1072970,102199,1469,8943
17.15.11,Sara Dietschy,1,56372,2332,191,261
17.15.11,Saint Louis Chess Club,27,69786,453,26,19
17.15.11,kimbramusic,10,204298,9321,386,993
17.15.11,GQ,24,101233,3128,51,93
17.15.11,Capital FM,10,1126501,48219,444,1083
17.15.11,ABC Television Network,24,2498463,75023,1925,3483
17.15.11,Hopeless Records,10,224608,14843,180,1004
17.15.11,Animal Adventure Park,15,45965,2284,35,17
17.15.11,Hope For Paws - Official Rescue Channel,15,317304,17023,84,939
17.15.11,Zero Media,1,1996082,18992,1049,1322
17.15.11,John Campea,24,44939,1576,110,1021
17.15.11,mayratouchofglam,26,118316,3823,294,404
17.15.11,HowToBasic,26,2244971,101831,12677,11863
17.15.11,CinemaSins,1,2844271,60500,3667,8122
17.15.11,Bon Appétit,26,99019,2404,40,135
17.15.11,IISuperwomanII,23,3591699,212004,3528,20418
17.15.11,BBC Music,10,1137392,26180,992,1055
17.15.11,LukeBryanVEVO,10,147193,5405,151,395
17.15.11,NiallHoranVEVO,10,482334,55001,184,3027
17.15.11,clothesencounters,26,269509,10801,158,653
17.15.11,Liza Koshy,23,3741812,314872,2647,12114
17.15.11,Rachel and Jun,22,1185773,45513,1378,4794
17.15.11,empireofthesunvevo,10,178313,9072,98,656
17.15.11,NFVEVO,10,2185367,96850,1130,8216
17.15.11,FoxSearchlight,1,366814,4099,172,449
17.15.11,Atlantic Records,10,797436,29425,585,1497
17.15.11,Marques Brownlee,28,1646057,53901,1566,5963
17.15.11,H&M,24,271685,3330,854,0
17.15.11,TMZSports,17,3505996,5934,3400,5162
17.15.11,SuperCarlinBrothers,22,194946,9278,137,2803
17.15.11,Full Frontal with Samantha Bee,22,392482,5659,2432,1311
17.15.11,SiaVEVO,10,1882868,88072,1219,6083
17.15.11,2CELLOS,10,226317,11702,125,471
17.15.11,MsAaliyahJay,26,232083,14766,408,1107
17.15.11,Business Insider,25,144694,1012,588,288
17.15.11,The Late Show with Stephen Colbert,24,908489,12261,339,1600
17.15.11,ElbowVEVO,10,180606,2400,159,239
17.15.11,Nicole Guerriero,22,308352,15765,399,984
17.15.11,Late Show with David Letterman,24,193832,1351,25,128
17.15.11,Andy Grammer,10,41251,1561,29,96
17.15.11,Danny Sapko,10,524911,7822,185,403
17.15.11,Simon's Cat,15,467804,19962,268,953
17.15.11,Dina Tokio,26,77302,3756,123,222
17.15.11,PitbullVEVO,10,304700,12347,577,756
17.15.11,RemyMaVEVO,10,1440724,36686,6598,9637
17.15.11,Keith Urban,24,878560,12961,1468,1788
17.15.11,Michelle Khare,24,155533,4621,233,451
17.15.11,Nintendo,20,161231,7803,169,1479
17.15.11,Team Coco,24,379918,4472,4507,2066
17.15.11,Caters Clips,25,90454,211,65,59
17.15.11,TheScriptVEVO,10,157037,7800,96,326
17.15.11,MOMOMOYOUTHVEVO,10,895507,38734,550,1270
17.15.11,Chris and Jack,23,134372,7979,80,310
17.15.11,MDNA SKIN,22,55901,477,132,105
17.15.11,X Factor Italia,24,207678,10372,69,554
17.16.11,20th Century Fox,1,3979891,151850,2378,8079
17.16.11,You Suck At Cooking,26,387902,24442,414,1346
17.16.11,Tanner Braungardt,22,1803724,57470,5261,7483
17.16.11,The Late Late Show with James Corden,24,3621389,141681,1289,8127
17.16.11,Cards Against Humanity,23,1012513,20036,6510,5153
17.16.11,iHasCupquake,20,224426,17784,225,2762
17.16.11,Brent Pella,23,1147169,31832,1902,1498
17.16.11,Attaullah Malik,28,1362421,8970,4131,3857
17.16.11,Jeremy Jahns,24,593969,24672,735,5173
17.16.11,The Slow Mo Guys,24,2916453,93039,1765,6493
17.16.11,Vox,25,533940,12633,597,1828
17.16.11,TheEllenShow,24,1559003,29898,884,1838
17.16.11,TechSmartt,28,2900560,37329,34908,10768
17.16.11,Jimmy Kimmel Live,24,760341,13283,317,433
17.16.11,JunsKitchen,26,1961066,142740,773,8471
17.16.11,FallOutBoyVEVO,10,1258937,114661,2509,11298
17.16.11,alt-J,10,133212,6260,202,528
17.16.11,TV Promos,24,235655,2665,109,336
17.16.11,Demi Lovato,24,208117,21334,255,1229
17.16.11,WIRED,17,229515,9435,90,759
17.16.11,CinemaSins,1,1496471,43974,2045,9442
17.16.11,Late Night with Seth Meyers,23,211596,3802,78,232
17.16.11,The Tonight Show Starring Jimmy Fallon,23,2223948,76806,1169,4176
17.16.11,BostonDynamics,28,5531707,72727,3362,14816
17.16.11,Matthias,28,623803,17286,511,6126
17.16.11,Anwar Jibawi,23,1610930,85208,916,5001
17.16.11,Sailor J,24,42571,3557,147,693
17.16.11,Taylor Swift,10,507753,35595,483,2176
17.16.11,E! Entertainment,24,237107,2207,138,261
17.16.11,Marques Brownlee,28,1825705,77531,4156,12025
17.16.11,Screen Junkies,1,1251180,32186,455,4166
17.16.11,Movie Munchies,24,79863,259,131,47
17.16.11,Fueled By Ramen,10,50934,2793,104,295
17.16.11,Mental Floss,27,21740,979,5,93
17.16.11,The Graham Norton Show,24,574778,7517,154,515
17.16.11,Washington Post,25,153220,660,320,479
17.16.11,WWE,17,845763,17929,502,2325
17.16.11,Access Hollywood,24,42769,175,117,100
17.16.11,SciShow,27,177648,6932,786,697
17.16.11,theneedledrop,10,225337,9576,587,2282
17.16.11,Pixielocks,26,17901,2325,50,429
17.16.11,Jackie Aina,26,290124,23472,483,2308
17.16.11,SHOWTIME Sports,17,15232,84,11,20
17.16.11,Dolan Twins,23,1291560,152975,650,8490
17.16.11,reputationswift,24,28895,309,81,76
17.16.11,ProZD,1,520049,28187,452,1607
17.16.11,NBA Highlights · YouTube,17,10838,7,42,10
17.16.11,ESPN,17,281868,1546,245,885
17.16.11,CaseyNeistat,22,2325233,91111,7543,21450
17.16.11,First We Feast,26,196434,6305,88,762
17.16.11,REACT,24,936075,21642,1202,2877
17.16.11,Cody'sLab Backup,22,52607,3835,32,351
17.16.11,Brian Hull,24,91701,5930,70,743
17.16.11,Paramount Pictures,1,17129,455,18,101
17.16.11,LastWeekTonight,24,5086221,137819,10468,18395
17.16.11,iJustine,28,860406,20489,2507,3083
17.16.11,Atlanta Hawks,17,2394,19,0,2
17.16.11,William Osman,28,153583,6989,92,845
17.16.11,The Infographics Show,27,587752,11891,1777,6920
17.16.11,NBA,17,128892,1935,68,288
17.16.11,DunkFest,17,98396,93,19,46
17.16.11,ColliderVideos,24,90641,2349,409,1246
17.16.11,Jenny Nicholson,1,62185,4369,82,867
17.16.11,Big Cat Rescue,15,30576,1741,27,283
17.16.11,RachelPlattenVEVO,10,33887,1350,41,69
17.16.11,FreeDawkins,17,12494,252,3,91
17.16.11,TED-Ed,27,338317,11251,120,680
17.16.11,Now You See It,27,232532,11933,231,607
17.16.11,standupmaths,24,100472,5140,40,560
17.16.11,marshmello,10,2814427,194199,3757,12409
17.16.11,Wendy Williams,24,414929,8895,636,2594
17.16.11,Good Mythical Morning,24,827546,15887,1299,3460
17.16.11,Life Noggin,27,440163,17988,211,5752
17.16.11,Gus Johnson,23,141129,8451,239,349
17.16.11,VICE,24,34221,1445,593,903
17.16.11,Rudy Mancuso,23,4576001,172379,6952,9440
17.16.11,Nickelback,10,282854,12958,664,1060
17.16.11,Vanity Fair,24,30341,730,22,34
17.16.11,Cut,24,207712,5447,143,1191
17.16.11,Red Bull,17,135459,9381,29,403
17.16.11,Dancing With The Stars,24,214305,4064,56,430
17.16.11,BBC Earth,15,31910,1699,13,142
17.16.11,U2VEVO,10,265822,9045,346,4701
17.16.11,Summit,27,11769,127,13,0
17.16.11,nigahiga,24,2584165,147110,2305,19313
17.16.11,emma chamberlain,24,175760,15482,138,2164
17.16.11,amc,24,220189,2338,565,1922
17.16.11,BBCRadio1VEVO,10,157522,8012,85,286
17.16.11,Hunter Hayes,10,84091,2892,95,122
17.16.11,Valk Aviation,19,1037561,716,117,223
17.16.11,People are Awesome,24,174568,4934,65,208
17.16.11,NBA on ESPN,17,10457,54,4,2
17.16.11,Vogue,24,212992,7049,209,365
17.16.11,The Scran Line,26,31076,1814,36,523
17.16.11,CrazyRussianHacker,28,1154280,27632,1096,2547
17.16.11,NFL,17,984836,5855,530,3171
17.16.11,hp_overload,2,549044,16946,2438,1626
17.16.11,Mark Ferris,23,46545,5320,37,1596
17.16.11,TIME,25,32347,145,44,245
17.16.11,Tom Scott,27,319797,17086,164,1356
17.16.11,HANSON,10,62620,1170,92,131
17.16.11,PeterSripol,28,372775,21214,119,3433
17.16.11,Saturday Night Live,24,2567518,18425,2950,2776
17.16.11,Donut Media,2,120697,2376,38,492
17.16.11,The king of DIY,15,289923,8480,321,2011
17.16.11,todrickhall,24,209442,19069,289,836
17.16.11,D3sports.com,17,44320,130,77,42
17.16.11,NowThis World,25,727427,9459,1446,3292
17.16.11,MattMasonPhotography,17,99999,143,12,32
17.16.11,Cleveland Cavaliers on cleveland.com,25,85742,278,128,174
17.16.11,INSIDER,24,20529,318,11,41
17.16.11,Refinery29,26,237111,2323,786,636
17.16.11,BBC News,25,104295,423,45,551
17.16.11,Frank May,23,409445,6345,331,299
17.16.11,Cracked,23,365006,9431,741,1278
17.16.11,Numberphile,28,174023,7010,72,632
17.16.11,BBC Radio 1,10,37575,1679,21,82
17.16.11,JerryRigEverything,26,248499,13613,359,1870
17.16.11,Tested,28,327935,4345,175,261
