prod_id,quan_in_stock,sales
194,374,16
195,249,21
196,139,15
197,265,9
198,102,12
199,145,12
200,197,15
201,366,5
202,66,22
203,378,11
204,228,14
205,466,13
206,194,17
207,435,11
208,415,18
209,299,10
210,10,7
211,116,13
212,415,5
213,259,12
214,425,13
215,64,13
216,407,13
217,30,9
218,390,14
219,15,10
220,32,6
221,314,28
222,44,23
223,0,14
224,158,15
225,418,13
226,249,14
227,298,14
228,182,15
229,351,16
230,443,11
231,380,7
232,216,12
233,9,11
234,257,13
235,445,7
236,476,9
237,452,7
238,379,13
239,391,11
240,250,11
241,390,11
242,6,11
243,165,16
244,149,12
245,431,15
246,229,6
247,56,3
248,462,12
249,118,7
250,71,21
251,494,2
252,433,32
253,115,8
254,494,6
255,90,27
256,33,4
257,243,11
258,389,3
259,216,15
260,94,19
261,331,4
262,95,11
263,311,5
264,341,14
265,352,6
266,255,5
267,316,18
268,304,19
269,134,8
270,206,9
271,53,8
272,23,9
273,212,15
274,219,6
275,172,15
276,143,8
277,448,12
278,228,9
279,104,15
280,65,24
281,300,12
282,98,2
283,499,18
284,416,13
285,92,14
286,88,15
287,449,8
288,335,16
289,477,14
290,165,4
291,430,9
292,308,16
293,260,8
294,240,10
295,148,11
296,112,22
297,495,5
298,465,21
299,416,18
300,129,24
301,170,11
302,470,10
303,153,18
304,383,7
305,188,13
306,325,28
307,26,17
308,135,16
309,53,15
310,131,5
311,201,7
312,354,10
313,229,13
314,199,12
315,269,4
316,321,20
317,288,20
318,218,8
319,156,11
320,265,10
321,383,20
322,86,22
323,73,12
324,143,15
325,326,16
326,222,8
327,255,3
328,321,12
329,186,18
330,171,9
331,450,4
332,357,18
333,140,12
334,102,7
335,239,17
336,329,14
337,428,18
338,265,21
339,465,13
340,482,10
341,396,6
342,165,22
343,336,7
344,125,8
345,365,11
346,105,17
347,447,6
348,153,6
349,323,8
350,103,15
351,419,10
352,206,13
353,189,17
354,493,8
355,349,13
356,14,32
357,214,8
358,104,15
359,336,15
360,401,17
361,275,20
362,286,15
363,257,11
364,416,8
365,388,14
366,497,12
367,244,16
368,316,13
369,261,15
370,208,4
371,298,11
372,157,19
373,374,12
374,133,16
375,282,5
376,239,15
377,238,25
378,229,12
379,393,13
380,61,16
381,332,15
382,312,17
383,268,8
384,20,14
385,304,10
386,117,8
387,35,9
388,18,10
389,221,24
390,372,14
391,419,9
392,497,19
393,157,15
394,175,8
395,413,16
396,45,17
397,171,13
398,157,20
399,361,15
400,433,10
401,365,9
402,159,8
403,90,19
404,239,18
405,292,22
406,373,21
407,479,21
408,30,11
409,101,10
410,371,6
411,92,15
412,433,22
413,182,22
414,360,11
415,454,20
416,486,9
417,477,4
418,490,3
419,3,14
420,198,12
421,361,10
422,423,10
423,195,14
424,17,8
425,98,11
426,108,9
427,62,10
428,270,0
429,265,11
430,424,11
431,203,9
432,130,18
433,82,7
434,293,17
435,369,16
436,375,13
437,165,25
438,348,8
439,406,14
440,267,16
441,218,11
442,498,12
443,199,16
444,401,10
445,358,16
446,153,13
447,386,6
448,335,3
449,143,7
450,390,16
451,33,10
452,3,10
453,313,7
454,228,1
455,21,8
456,411,9
457,336,10
458,83,10
459,180,8
460,101,33
461,7,10
462,383,8
463,231,21
464,90,9
465,176,10
466,100,9
467,466,11
468,341,7
469,448,7
470,371,11
471,107,12
472,165,14
473,369,13
474,307,6
475,65,7
476,226,9
477,461,22
478,452,9
479,60,2
480,103,10
481,342,14
482,94,7
483,106,15
484,154,20
485,322,23
486,128,11
487,64,12
488,158,15
489,212,15
490,245,11
491,259,14
492,219,12
493,128,13
494,490,10
495,309,6
496,304,6
497,89,21
498,274,10
499,144,19
500,37,11
501,145,8
502,252,10
503,202,16
504,13,14
505,59,12
506,268,4
507,240,17
508,19,8
509,220,10
510,301,9
511,122,17
512,61,9
513,395,5
514,229,7
515,215,13
516,216,15
517,357,17
518,280,11
519,375,14
520,68,7
521,24,12
522,134,20
523,288,7
524,152,12
525,123,16
526,97,25
527,456,3
528,213,16
529,372,11
530,100,13
531,250,11
532,16,17
533,353,2
534,453,12
535,30,11
536,412,19
537,220,9
538,270,5
539,431,12
540,440,10
541,70,5
542,53,20
543,1,15
544,466,13
545,282,12
546,216,19
547,182,11
548,139,14
549,496,19
550,56,10
551,208,7
552,20,21
553,190,14
554,496,13
555,173,10
556,314,19
557,92,13
558,128,14
559,26,14
560,464,2
561,229,16
562,277,11
563,481,14
564,81,14
565,230,6
566,10,13
567,493,15
568,450,13
569,280,18
570,424,21
571,390,6
572,351,5
573,478,15
574,391,12
575,316,8
576,260,9
577,107,16
578,498,14
579,399,7
580,103,25
581,54,10
582,107,11
583,124,7
584,244,6
585,102,19
586,297,1
587,57,15
588,195,10
589,426,13
590,84,14
591,159,18
592,154,14
593,362,9
594,139,10
595,236,15
596,91,17
597,150,13
598,229,10
599,41,10
600,431,6
601,152,11
602,432,7
603,281,4
604,129,14
605,323,5
606,97,11
607,389,11
608,430,14
609,95,25
610,288,20
611,33,12
612,149,21
613,395,8
614,157,10
615,394,8
616,498,13
617,455,14
618,452,15
619,192,14
620,380,11
621,36,8
622,352,10
623,34,16
624,398,23
625,492,9
626,270,15
627,490,8
628,141,9
629,499,17
630,30,10
631,71,14
632,151,16
633,462,16
634,353,10
635,281,8
636,284,25
637,451,12
638,169,4
639,214,13
640,45,16
641,458,10
642,248,14
643,195,5
644,353,12
645,406,11
646,88,12
647,350,5
648,360,20
649,39,9
650,42,13
651,240,19
652,75,14
653,394,9
654,274,20
655,474,10
656,385,7
657,43,8
658,463,9
659,26,19
660,41,15
661,494,24
662,97,9
663,193,10
664,456,18
665,451,11
666,474,13
667,240,12
668,401,15
669,143,17
670,454,17
671,446,6
672,100,10
673,202,22
674,140,14
675,453,12
676,107,16
677,229,17
678,303,5
679,468,11
680,269,15
681,346,17
682,207,14
683,344,13
684,239,12
685,481,7
686,318,3
687,124,4
688,24,15
689,281,2
690,150,14
691,66,12
692,274,21
693,248,8
694,259,8
695,229,9
696,198,12
697,232,13
698,469,12
699,98,12
700,375,9
701,423,7
702,44,8
703,476,7
704,125,22
705,185,2
706,429,13
707,233,12
708,414,7
709,231,5
710,200,19
711,182,23
712,76,10
713,408,8
714,26,19
715,316,12
716,389,9
717,345,8
718,441,14
719,413,13
720,125,5
721,91,12
722,479,22
723,399,11
724,340,12
725,237,17
726,128,12
727,37,10
728,470,16
729,96,12
730,136,22
731,344,18
732,19,13
733,181,24
734,319,7
735,144,13
736,366,10
737,247,22
738,377,13
739,280,4
740,479,7
741,77,8
742,463,10
743,55,13
744,485,4
745,490,12
746,372,11
747,374,17
748,334,5
749,313,9
750,286,4
751,460,11
752,404,16
753,265,23
754,358,6
755,243,11
756,2,13
757,487,9
758,281,11
759,472,20
760,83,9
761,418,22
762,315,13
763,102,20
764,98,24
765,134,18
766,247,10
767,465,26
768,381,10
769,123,13
770,244,14
771,360,7
772,201,16
773,207,14
774,415,6
775,185,7
776,196,6
777,287,18
778,58,17
779,30,15
780,99,5
781,345,15
782,490,11
783,2,18
784,109,3
785,348,9
786,246,10
787,112,4
788,334,14
789,27,5
790,83,12
791,417,10
792,445,15
793,398,25
794,19,7
795,43,12
796,32,14
797,266,12
798,7,10
799,414,11
800,390,7
801,252,4
802,273,20
803,90,14
804,459,15
805,188,15
806,276,15
807,155,6
808,475,10
809,335,9
810,185,9
811,73,23
812,179,10
813,174,13
814,76,9
815,289,7
816,21,14
817,323,11
818,401,4
819,356,5
820,351,15
821,484,11
822,272,12
823,295,17
824,382,17
825,292,7
826,339,12
827,415,16
828,57,13
829,346,20
830,328,19
831,447,17
832,97,12
833,100,13
834,37,18
835,56,10
836,289,12
837,313,15
838,211,13
839,263,11
840,147,16
841,396,9
842,337,20
843,327,17
844,70,9
845,414,16
846,115,19
847,92,5
848,237,8
849,16,12
850,448,21
851,87,11
852,0,11
853,220,10
854,383,10
855,383,9
856,11,12
857,221,7
858,297,19
859,69,10
860,67,12
861,124,21
862,15,2
863,165,10
864,225,10
865,52,14
866,221,9
867,13,17
868,366,19
869,432,10
870,277,10
871,12,9
872,328,10
873,113,4
874,339,12
875,399,13
876,27,20
877,455,18
878,491,14
879,264,14
880,471,6
881,439,10
882,351,10
883,472,0
884,158,20
885,233,12
886,354,11
887,169,13
888,455,5
889,150,5
890,238,3
891,21,17
892,274,8
893,254,28
894,186,13
895,499,18
896,307,19
897,407,21
898,12,6
899,172,11
900,339,18
901,289,8
902,185,12
903,167,15
904,403,17
905,23,9
906,65,10
907,430,9
908,478,2
909,56,10
910,194,12
911,449,13
912,495,2
913,44,11
914,420,4
915,152,17
916,278,6
917,273,18
918,322,8
919,232,24
920,424,10
921,60,12
922,254,12
923,197,10
924,314,10
925,440,7
926,196,22
927,121,19
928,347,30
929,208,16
930,293,7
931,186,13
932,497,15
933,478,4
934,353,15
935,400,13
936,1,3
937,419,9
938,329,12
939,480,15
940,476,14
941,22,5
942,429,7
943,470,15
944,67,14
945,348,20
946,122,14
947,345,9
948,121,6
949,445,7
950,77,9
951,44,18
952,4,11
953,331,11
954,242,13
955,319,15
956,271,20
957,438,17
958,440,15
959,118,8
960,145,10
961,233,14
962,304,5
963,142,21
964,211,14
965,157,17
966,41,12
967,213,17
968,76,8
969,371,4
970,192,21
971,51,6
972,394,5
973,120,15
974,21,6
975,461,15
976,469,17
977,144,11
978,306,10
979,90,14
980,88,4
981,384,9
982,135,18
983,92,13
984,215,24
985,377,9
986,412,4
987,487,19
988,314,8
989,351,7
990,104,12
991,460,15
992,84,14
993,408,11
994,102,11
995,296,15
996,65,13
997,144,18
998,8,17
999,141,11
1000,14,3
1001,200,13
1002,193,12
1003,409,13
1004,321,8
1005,214,5
1006,370,7
1007,290,10
1008,358,18
1009,175,16
1010,380,9
1011,447,7
1012,59,13
1013,14,18
1014,38,18
1015,274,10
1016,391,4
1017,450,7
1018,261,14
1019,205,25
1020,301,14
1021,365,10
1022,165,8
1023,386,19
1024,273,20
1025,267,17
1026,181,11
1027,338,10
1028,412,16
1029,189,14
1030,480,19
1031,427,7
1032,390,15
1033,173,9
1034,335,11
1035,211,10
1036,388,13
1037,204,10
1038,0,23
1039,245,14
1040,380,18
1041,381,9
1042,192,5
1043,440,11
1044,396,15
1045,230,10
1046,214,5
1047,287,3
1048,180,5
1049,475,23
1050,492,9
1051,482,7
1052,340,10
1053,157,15
1054,367,15
1055,112,7
1056,425,8
1057,48,6
1058,451,11
1059,336,9
1060,237,17
1061,431,19
1062,262,10
1063,127,13
1064,103,16
1065,97,14
1066,339,18
1067,491,7
1068,302,16
1069,340,15
1070,236,10
1071,182,11
1072,220,20
1073,428,16
1074,121,14
1075,115,23
1076,158,12
1077,336,15
1078,402,23
1079,338,11
1080,310,12
1081,394,7
1082,319,17
1083,149,13
1084,50,10
1085,186,9
1086,262,15
1087,476,18
1088,234,12
1089,213,15
1090,311,11
1091,472,25
1092,143,10
1093,73,9
1094,98,13
1095,246,20
1096,171,9
1097,438,11
1098,236,18
1099,473,12
1100,277,18
1101,473,17
1102,155,11
1103,497,7
1104,400,13
1105,277,12
1106,112,15
1107,57,16
1108,112,16
1109,14,19
1110,396,16
1111,423,11
1112,408,23
1113,214,10
1114,72,34
1115,459,21
1116,400,12
1117,334,13
1118,434,14
1119,134,12
1120,46,9
1121,244,6
1122,105,6
1123,189,2
1124,318,13
1125,204,9
1126,436,14
1127,489,6
1128,141,14
1129,172,16
1130,462,20
1131,418,8
1132,144,13
1133,116,12
1134,415,11
1135,43,12
1136,393,12
1137,26,6
1138,101,10
1139,5,3
1140,40,2
1141,497,9
1142,428,10
1143,449,18
1144,211,20
1145,500,19
1146,407,19
1147,111,5
1148,333,20
1149,340,10
1150,245,8
1151,380,13
1152,84,5
1153,350,0
1154,69,9
1155,402,12
1156,53,14
1157,4,18
1158,391,3
1159,195,8
1160,176,6
1161,352,14
1162,112,6
1163,320,9
1164,469,10
1165,27,17
1166,364,17
1167,362,12
1168,54,12
1169,466,15
1170,367,4
1171,95,6
1172,462,5
1173,294,5
1174,43,23
1175,172,14
1176,293,23
1177,451,14
1178,283,13
1179,126,3
1180,290,8
1181,28,11
1182,5,14
1183,375,6
1184,378,11
1185,74,14
1186,277,6
1187,432,13
1188,79,12
1189,167,13
1190,126,10
1191,255,20
1192,19,6
1193,239,11
1194,75,10
1195,488,6
1196,266,14
1197,440,6
1198,350,12
1199,321,10
1200,405,7
1201,216,23
1202,416,12
1203,367,9
1204,9,30
1205,460,14
1206,39,3
1207,303,5
1208,410,17
1209,323,12
1210,430,12
1211,200,13
1212,351,15
1213,435,12
1214,74,14
1215,228,5
1216,9,2
1217,351,6
1218,160,18
1219,88,17
1220,17,10
1221,286,9
1222,344,10
1223,37,14
1224,24,6
1225,419,7
1226,25,7
1227,291,10
1228,359,9
1229,375,13
1230,111,4
1231,264,15
1232,90,8
1233,27,15
1234,130,17
1235,100,20
1236,487,15
1237,170,14
1238,404,21
1239,396,11
1240,493,15
1241,333,12
1242,95,17
1243,343,22
1244,268,10
1245,170,9
1246,71,13
1247,277,5
1248,20,13
1249,232,3
1250,366,17
1251,38,7
1252,17,9
1253,209,12
1254,75,10
1255,42,14
1256,127,7
1257,101,33
1258,334,11
1259,487,6
1260,476,5
1261,446,14
1262,250,15
1263,66,10
1264,473,18
1265,381,17
1266,166,13
1267,459,7
1268,50,28
1269,70,12
1270,355,2
1271,42,23
1272,403,13
1273,451,18
1274,386,17
1275,170,21
1276,120,10
1277,458,8
1278,448,15
1279,140,6
1280,189,8
1281,313,5
1282,179,4
1283,207,7
1284,21,14
1285,255,21
1286,249,8
1287,149,6
1288,356,14
1289,82,18
1290,135,13
1291,332,15
1292,28,6
1293,385,2
1294,398,24
1295,0,16
1296,265,14
1297,64,14
1298,460,8
1299,316,16
1300,134,10
1301,314,16
1302,358,16
1303,36,7
1304,264,15
1305,244,13
1306,207,13
1307,385,8
1308,201,10
1309,154,7
1310,25,8
1311,391,26
1312,467,8
1313,204,12
1314,97,13
1315,489,13
1316,460,8
1317,346,18
1318,137,18
1319,315,14
1320,429,12
1321,273,6
1322,147,16
1323,457,6
1324,157,25
1325,44,6
1326,458,5
1327,423,12
1328,108,10
1329,417,22
1330,238,13
1331,243,15
1332,231,13
1333,96,21
1334,280,5
1335,496,11
1336,340,7
1337,487,8
1338,380,9
1339,41,2
1340,141,16
1341,405,14
1342,432,5
1343,108,15
1344,109,10
1345,29,8
1346,96,12
1347,68,15
1348,376,8
1349,234,15
1350,384,10
1351,305,17
1352,6,11
1353,30,6
1354,262,19
1355,164,15
1356,75,20
1357,219,11
1358,87,10
1359,184,8
1360,136,9
1361,325,10
1362,427,12
1363,367,10
1364,422,12
1365,206,5
1366,362,15
1367,262,6
1368,193,13
1369,242,7
1370,303,14
1371,334,13
1372,147,12
1373,235,6
1374,443,11
1375,256,10
1376,264,9
1377,38,9
1378,325,7
1379,139,11
1380,273,19
1381,209,12
1382,444,14
1383,279,16
1384,240,9
1385,205,11
1386,444,13
1387,315,22
1388,425,12
1389,30,15
1390,499,10
1391,60,13
1392,356,14
1393,426,13
1394,427,11
1395,277,7
1396,131,10
1397,289,8
1398,38,8
1399,324,7
1400,31,15
1401,342,13
1402,158,20
1403,178,9
1404,76,7
1405,100,17
1406,435,12
1407,341,15
1408,139,6
1409,260,7
1410,481,9
1411,412,23
1412,470,7
1413,424,17
1414,191,7
1415,209,6
1416,129,6
1417,134,13
1418,24,12
1419,54,7
1420,164,8
1421,23,2
1422,114,7
1423,19,8
1424,449,12
1425,41,7
1426,297,17
1427,79,19
1428,331,11
1429,336,9
1430,404,11
1431,362,24
1432,177,16
1433,62,14
1434,40,0
1435,254,6
1436,162,18
1437,475,11
1438,94,8
1439,302,10
1440,235,12
1441,75,14
1442,213,12
1443,204,10
1444,500,7
1445,405,15
1446,413,4
1447,128,11
1448,38,4
1449,438,13
1450,182,9
1451,203,5
1452,461,12
1453,297,11
1454,223,17
1455,409,13
1456,338,12
1457,19,16
1458,489,20
1459,169,15
1460,355,17
1461,393,23
1462,30,8
1463,32,3
1464,455,18
1465,70,3
1466,286,16
1467,117,15
1468,45,11
1469,381,10
1470,419,9
1471,280,26
1472,456,8
1473,131,5
1474,484,8
1475,455,16
1476,35,21
1477,397,18
1478,83,13
1479,74,18
1480,334,11
1481,266,13
1482,277,8
1483,295,11
1484,62,14
1485,500,10
1486,204,12
1487,401,11
1488,19,13
1489,192,10
1490,69,15
1491,374,18
1492,85,22
1493,100,8
1494,407,12
1495,39,9
1496,171,23
1497,192,6
1498,156,6
1499,216,9
1500,72,12
1501,74,14
1502,497,14
1503,28,10
1504,206,17
1505,480,9
1506,483,13
1507,242,17
1508,377,13
1509,65,21
1510,316,8
1511,211,9
1512,332,5
1513,92,17
1514,6,13
1515,395,8
1516,92,8
1517,210,12
1518,295,17
1519,112,16
1520,402,11
1521,365,18
1522,486,14
1523,487,15
1524,465,11
1525,393,14
1526,26,18
1527,135,14
1528,84,15
1529,182,15
1530,352,16
1531,157,8
1532,257,8
1533,348,13
1534,185,8
1535,463,16
1536,328,24
1537,167,11
1538,204,7
1539,204,15
1540,233,16
1541,20,19
1542,416,17
1543,65,17
1544,112,19
1545,422,17
1546,460,10
1547,205,11
1548,131,16
1549,255,13
1550,317,10
1551,33,5
1552,119,3
1553,303,8
1554,20,3
1555,84,9
1556,195,17
1557,47,6
1558,220,9
1559,280,22
1560,229,3
1561,71,12
1562,437,9
1563,487,6
1564,420,25
1565,121,11
1566,449,21
1567,247,20
1568,289,5
1569,153,16
1570,452,8
1571,22,6
1572,173,15
1573,367,8
1574,88,17
1575,286,12
1576,289,12
1577,47,7
1578,492,9
1579,421,22
1580,302,23
1581,309,15
1582,455,10
1583,421,14
1584,111,13
1585,475,17
1586,5,24
1587,307,12
1588,21,13
1589,225,9
1590,86,21
1591,251,9
1592,297,7
1593,23,9
1594,238,12
1595,216,12
1596,145,13
1597,187,4
1598,463,4
1599,435,8
1600,340,17
1601,415,14
1602,458,13
1603,13,12
1604,281,15
1605,45,19
1606,299,13
1607,70,12
1608,92,7
1609,290,13
1610,491,18
1611,395,18
1612,98,14
1613,445,10
1614,316,7
1615,210,26
1616,420,27
1617,321,6
1618,17,23
1619,442,16
1620,46,16
1621,104,14
1622,193,8
1623,343,10
1624,127,11
1625,431,10
1626,58,12
1627,273,13
1628,118,11
1629,21,6
1630,207,9
1631,458,19
1632,436,16
1633,164,13
1634,471,20
1635,217,9
1636,210,4
1637,270,15
1638,288,19
1639,303,8
1640,60,5
1641,278,10
1642,197,7
1643,159,10
1644,223,3
1645,12,16
1646,370,13
1647,143,11
1648,333,4
1649,387,8
1650,85,11
1651,380,14
1652,492,10
1653,278,10
1654,222,8
1655,118,5
1656,209,4
1657,281,10
1658,392,15
1659,327,7
1660,302,16
1661,98,10
1662,285,12
1663,238,16
1664,263,9
1665,256,8
1666,456,5
1667,473,9
1668,25,10
1669,243,16
1670,276,5
1671,86,8
1672,21,17
1673,473,8
1674,245,10
1675,245,13
1676,485,30
1677,115,3
1678,388,10
1679,318,7
1680,1,5
1681,473,16
1682,197,18
1683,493,9
1684,251,17
1685,420,2
1686,111,12
1687,461,6
1688,200,16
1689,2,11
1690,288,7
1691,2,10
1692,101,12
1693,72,7
1694,241,14
1695,365,5
1696,328,11
1697,196,11
1698,337,34
1699,354,21
1700,439,14
1701,112,8
1702,441,14
1703,461,10
1704,85,9
1705,186,18
1706,205,3
1707,70,19
1708,301,8
1709,92,15
1710,389,7
1711,303,6
1712,65,21
1713,86,9
1714,296,7
1715,317,12
1716,5,12
1717,408,13
1718,277,9
1719,206,10
1720,410,1
1721,64,23
1722,209,14
1723,11,10
1724,137,12
1725,450,12
1726,376,26
1727,466,16
1728,145,8
1729,213,15
1730,320,19
1731,84,21
1732,326,14
1733,260,7
1734,44,17
1735,411,9
1736,446,10
1737,249,13
1738,482,9
1739,246,24
1740,342,7
1741,370,8
1742,49,20
1743,408,8
1744,456,7
1745,345,16
1746,224,11
1747,462,5
1748,252,11
1749,1,12
1750,167,8
1751,162,9
1752,66,8
1753,377,14
1754,173,13
1755,203,29
1756,326,23
1757,49,19
1758,169,9
1759,471,19
1760,262,10
1761,489,11
1762,54,13
1763,87,14
1764,248,13
1765,99,10
1766,499,11
1767,193,10
1768,348,12
1769,480,16
1770,440,6
1771,190,10
1772,350,21
1773,489,9
1774,97,6
1775,306,11
1776,334,8
1777,322,15
1778,267,20
1779,85,6
1780,323,17
1781,435,14
1782,248,12
1783,389,8
1784,311,21
1785,421,16
1786,92,12
1787,136,14
1788,471,14
1789,261,6
1790,107,8
1791,232,10
1792,249,13
1793,162,15
1794,320,6
1795,498,12
1796,261,12
1797,318,12
1798,191,10
1799,109,14
1800,298,15
1801,131,6
1802,299,18
1803,147,11
1804,120,11
1805,397,12
1806,454,11
1807,454,13
1808,218,12
1809,220,8
1810,39,13
1811,41,11
1812,155,13
1813,287,2
1814,431,5
1815,466,15
1816,208,15
1817,22,15
1818,102,13
1819,178,2
1820,284,10
1821,210,9
1822,410,15
1823,33,7
1824,372,5
1825,229,3
1826,30,11
1827,133,15
1828,47,18
1829,221,12
1830,242,8
1831,346,11
1832,352,14
1833,41,12
1834,494,4
1835,472,7
1836,439,9
1837,447,8
1838,426,16
1839,157,18
1840,167,11
1841,465,13
1842,198,9
1843,322,15
1844,251,9
1845,128,3
1846,288,13
1847,459,11
1848,151,19
1849,391,13
1850,136,16
1851,435,11
1852,100,12
1853,46,11
1854,468,8
1855,473,7
1856,275,17
1857,498,4
1858,105,9
1859,323,8
1860,219,14
1861,348,14
1862,169,14
1863,71,13
1864,390,10
1865,162,3
1866,43,13
1867,329,22
1868,109,16
1869,469,16
1870,486,11
1871,276,12
1872,434,10
1873,184,5
1874,97,11
1875,184,11
1876,312,14
1877,386,7
1878,143,19
1879,464,9
1880,276,18
1881,279,16
1882,398,10
1883,377,4
1884,325,7
1885,366,2
1886,349,13
1887,100,10
1888,364,9
1889,455,15
1890,424,9
1891,83,16
1892,303,15
1893,92,7
1894,154,10
1895,192,11
1896,255,11
1897,198,5
1898,20,8
1899,364,17
1900,167,15
1901,6,15
1902,139,6
1903,100,7
1904,190,8
1905,237,14
1906,285,10
1907,2,8
1908,123,8
1909,428,10
1910,466,15
1911,400,9
1912,207,5
1913,364,25
1914,276,6
1915,32,5
1916,229,11
1917,125,21
1918,133,11
1919,92,4
1920,79,10
1921,56,11
1922,175,10
1923,382,4
1924,149,12
1925,330,21
1926,74,8
1927,405,10
1928,28,7
1929,95,10
1930,268,7
1931,195,7
1932,101,5
1933,408,12
1934,296,15
1935,291,8
1936,145,12
1937,80,23
1938,294,13
1939,268,12
1940,8,5
1941,259,16
1942,168,12
1943,215,12
1944,123,8
1945,444,12
1946,248,8
1947,352,20
1948,69,9
1949,381,17
1950,445,12
1951,148,4
1952,438,14
1953,120,22
1954,30,2
1955,86,8
1956,451,9
1957,104,9
1958,491,13
1959,479,19
1960,199,11
1961,259,9
1962,174,6
1963,301,14
1964,167,9
1965,470,9
1966,91,16
1967,312,13
1968,50,8
1969,386,7
1970,80,2
1971,58,11
1972,144,13
1973,248,14
1974,274,0
1975,267,7
1976,192,9
1977,21,9
1978,119,21
1979,261,16
1980,402,11
1981,64,4
1982,410,9
1983,339,12
1984,184,15
1985,440,4
1986,426,6
1987,135,5
1988,44,8
1989,417,11
1990,113,19
1991,244,5
1992,175,11
1993,287,14
1994,44,10
1995,342,12
1996,257,11
1997,136,12
1998,154,17
1999,307,6
2000,21,11
2001,235,6
2002,365,8
2003,166,17
2004,483,16
2005,138,7
2006,434,13
2007,175,18
2008,160,11
2009,52,15
2010,436,9
2011,61,13
2012,117,24
2013,346,12
2014,401,12
2015,301,9
2016,285,15
2017,326,9
2018,436,8
2019,330,8
2020,242,0
2021,49,8
2022,73,7
2023,418,11
2024,337,18
2025,117,15
2026,259,8
2027,93,8
2028,253,11
2029,414,18
2030,400,8
2031,275,8
2032,148,10
2033,264,2
2034,441,9
2035,131,24
2036,403,2
2037,374,5
2038,306,10
2039,63,12
2040,427,8
2041,242,15
2042,124,12
2043,43,11
2044,87,19
2045,25,14
2046,345,14
2047,373,14
2048,351,2
2049,281,8
2050,202,10
2051,93,10
2052,331,13
2053,275,7
2054,10,7
2055,167,5
2056,393,21
2057,270,5
2058,260,24
2059,145,14
2060,183,17
2061,159,7
2062,421,25
2063,331,8
2064,424,18
2065,361,17
2066,462,7
2067,327,13
2068,235,8
2069,268,12
2070,390,6
2071,161,18
2072,9,11
2073,13,8
2074,205,11
2075,97,2
2076,39,16
2077,50,12
2078,470,21
2079,391,11
2080,332,16
2081,172,20
2082,484,15
2083,162,10
2084,447,16
2085,495,11
2086,329,8
2087,340,11
2088,264,10
2089,88,8
2090,486,19
2091,448,16
2092,247,12
2093,406,2
2094,279,14
2095,170,14
2096,266,22
2097,241,16
2098,497,10
2099,1,10
2100,8,14
2101,386,6
2102,162,14
2103,18,8
2104,400,13
2105,368,10
2106,115,16
2107,439,17
2108,418,13
2109,85,13
2110,329,16
2111,250,8
2112,257,14
2113,313,10
2114,412,3
2115,204,12
2116,308,7
2117,240,6
2118,43,12
2119,71,15
2120,328,13
2121,28,13
2122,19,11
2123,75,9
2124,434,16
2125,298,8
2126,245,6
2127,200,11
2128,39,27
2129,242,12
2130,201,9
2131,47,23
2132,128,8
2133,364,25
2134,65,11
2135,28,14
2136,231,15
2137,180,6
2138,467,15
